position_num, song_name, artist_name, explicit, album_name, duration
1,WAP (feat. Megan Thee Stallion),Cardi B - Megan Thee Stallion,Y,WAP (feat. Megan Thee Stallion),3:07
2,ROCKSTAR (feat. Roddy Ricch),DaBaby - Roddy Ricch,Y,BLAME IT ON BABY,3:01
3,Wishing Well,Juice WRLD,Y,Legends Never Die,3:14
4,Smile (with The Weeknd),Juice WRLD - The Weeknd,Y,Legends Never Die,3:16
5,Come & Go (with Marshmello),Juice WRLD - Marshmello,Y,Legends Never Die,3:25
6,WHATS POPPIN (feat. DaBaby/ Tory Lanez & Lil Wayne) - Remix,Jack Harlow - Tory Lanez - DaBaby - Lil Wayne,Y,WHATS POPPIN (feat. DaBaby /  Tory Lanez & Lil Wayne) [Remix],3:47
7,For The Night (feat. Lil Baby & DaBaby),Pop Smoke - Lil Baby - DaBaby,Y,Shoot For The Stars Aim For The Moon,3:10
8,Watermelon Sugar,Harry Styles,N,Fine Line,2:54
9,Blinding Lights,The Weeknd,N,After Hours,3:20
10,Mood Swings (feat. Lil Tjay),Pop Smoke - Lil Tjay,Y,Shoot For The Stars Aim For The Moon,3:33
11,Blueberry Faygo,Lil Mosey,Y,Certified Hitmaker,2:42
12,The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke - 50 Cent - Roddy Ricch,Y,Shoot For The Stars Aim For The Moon,3:21
13,exile (feat. Bon Iver),Taylor Swift - Bon Iver,N,folklore,4:45
14,cardigan,Taylor Swift,N,folklore,3:59
15,Savage Love (Laxed - Siren Beat),Jawsh 685 - Jason Derulo,Y,Savage Love (Laxed - Siren Beat),2:51
16,Conversations,Juice WRLD,Y,Legends Never Die,3:01
17,my future,Billie Eilish,N,my future,3:28
18,the 1,Taylor Swift,Y,folklore,3:30
19,Hate The Other Side (with Marshmello & The Kid Laroi),Juice WRLD - Marshmello - The Kid LAROI - Polo G,Y,Legends Never Die,2:40
20,Party Girl,StaySolidRocky,N,Fallin,2:27
21,POPSTAR (feat. Drake),DJ Khaled - Drake,Y,POPSTAR (feat. Drake),3:20
22,Roses - Imanbek Remix,SAINt JHN - Imanbek,Y,Roses (Imanbek Remix),2:56
23,Go Crazy,Chris Brown - Young Thug,Y,Slime & B,2:56
24,GREECE (feat. Drake),DJ Khaled - Drake,Y,GREECE (feat. Drake),3:38
25,Righteous,Juice WRLD,Y,Legends Never Die,4:02
26,We Paid (feat. 42 Dugg),Lil Baby - 42 Dugg,Y,My Turn (Deluxe),3:01
27,DOLLAZ ON MY HEAD (feat. Young Thug),Gunna - Young Thug,Y,WUNNA,3:17
28,The Box,Roddy Ricch,Y,Please Excuse Me For Being Antisocial,3:16
29,death bed (coffee for your head),Powfu - beabadoobee,N,death bed (coffee for your head),2:53
30,Rags2Riches (feat. ATR Son Son),Rod Wave - ATR Son Son,Y,Pray 4 Love,2:47
